Tweet_ID,Cleaned_Text,Sentiment
1895843959882342579,president zelensky of ukraine misread the room during the meeting with   and  consequently things went astray bad for ukraine,Negative
1895843959869735072,responding to questions about donald trump and possible preemptive pardons from over 4 years ago,Neutral
1895843959366435070,you are a degenerate supporter of sexual predators who thinks its the role of us government to help predators like andrew tate,Positive
1895843959215460616,have repeatedly reiterated basis solid firsthand intel that president zelenskyy is unwilling to negotiate peace he is unwilling to come on the table with putin without feeling strong the strength he is aiming for is based on excessive military amp financial aid from us amp,Positive
1895843958947004704,z started the arguments by insulting our president and vice president by his arrogance   he is not in control of our country even though he thinks so  hes a baby who didnt get his way,Negative
1895843958552657972,no president has worked as hard as he does of course he can have a little break every now and again,Negative
1895843958032646309,les cartons sont symboliques de lengagement du match mais aussi de la prestation maladroite des deux quipes et le prsident qui quitte le navire est pire que tout fin de cycle pour la rochelle un vent nouveau devrait souffler dans les voiles,Neutral
1895843957894242758,100 only problem is the entire government is corrupt i cant think of one person that could lead such an endeavour,Negative
1895843957822931169,another way to put it is trump dissembled about the tates when directly asked wouldnt make a moral statement but hes willing to lecture an ally on tv zelenskyy shouldnt have taken the bait but why are the president and vp laying bait out,Positive
1895843957604790391,another thing that seems to be ok a scumbag calling for public to take out a government official but yet nothing will be done,Positive
1895843956958904370,president donald trump has expressed confidence that russian president vladimir putin will keep his word regarding a potential peace agreement to end the war in  ukraine on february 27 2025 trump stated that negotiations to end russias invasion of ukraine are very advanced,Positive
1895843956921155730,paraguay land purchase by us president bush  global voices,Neutral
1895843956883386654,again that money isnt from the us government,Neutral
1895843956824686903,"on march 1962 president john f kennedy sent to the congress the act of consumer protection act
this is very important to discuss",Positive
1895843956761755713,"catturd 


2h
watch carefully who takes zelenskys side over president trump and vice president jd vance  traitors war profiteers money launderers and war pigs will be outing themselves today",Negative
1895843956401062292,well no it actually isnt youre comparing an incoming elected president to a group of people that have no official govt role obama was talking to world leaders right after being elected in 08 this isnt unusual,Positive
1895843956354916712,embarrassing president zelenskyy was attempted what occurred was the rest of the west rallying around him,Neutral
1895843956333953045,american people need to denounce their leadership if they can get over orientalist attitudes towards people of the middle east when me leadership fails resistance militia emerge no government should get comfortable but they call them terroristssmh,Negative
1895843955620921477,"its exciting to watch the entire trump cabinet 
work in cohesion amp with unity on behalf america 
the president and his strong leadership

but last night was extraordinary 

jd vance proved he is the right man for the job 

raise your hand if youre proud of this guy",Positive
1895843955524452786,nope zelenskyy called the vice president a suka bitch on live tv,Positive
1895843955432210837,vp vance addressed z as mr president z arguing called him jd,Neutral
1895843955125965198,politics government history and historiography,Neutral
1895843954790449561,thank you for doing what our narcissistic tiny man thats our president is incapable of doing it seems europe and the rest of the free world holds the keys as protectors of freedom and democracy as we once did im extremely embarrassed as an american and you have my support,Positive
1895843954559762818,let the government not be an i 1,Neutral
1895843954526167284,,Neutral
1895843954442305864,let the government not be an i 0,Neutral
1895843953716687018,"will  do anything
it the party believes it will firm government next 50 years only on hindu womens vote 
the rate at which men are voluntarily making exit 20 yrs from now very fewer men and even less taxpayers",Negative
1895843953649619137,"quoi les rsultats annoncs  on a coup internet ds le pays pr annoncer ali bongo prsident
coe vs pensez que cest alice aux pays des merveilles l
chacun de ns sait exactemt ce quil faut pr faire tomber ces gens et ce ne st pas les lects
assumons notre mnq de courage",Neutral
1895843952991092740,"dont worry he will start paying when is 6 months to 2027 election  so that he can use it to campaign amp romance it with normal propaganda 

just relax 

imove",Positive
1895843952349356374,in showdown with zelensky trump takes offense on putins behalf  well done maga,Neutral
1895843952131231978,zelensky wants the meat grinder to keep running so the money will keep flowing nato and us intelligence and zelensky government started this for that very purpose,Positive
1895843951795650934,boltons a traitorous moron but its downright sad to see him taking a foreigners side over an american president,Negative
1895843951271428262,amazing how many americans angry at our president for trying stop a war,Positive
1895843950327644606,"a foreign dictator disrespected the president and the vice president in the oval office yesterday and half the country is applauding it

let that sink in the enemy is other americans fr these people cannot be reasoned with or trusted",Negative
1895843949572706341,i hate it when those non political people get involved in politics they got no knowledge of whats happening yet speak so confidently youre right putin has broken the ceasefire amp the reason he doesnt care to break it again is cause trump votes against the un to no sanction,Negative
1895843949459488978,i stand with president trump and vice president vance i could give a shit less about ukraine i feel sorry for the people but they have to get rid of this retard they have running the country,Negative
1895843949304299916,thank you for standing with our president and vice president,Neutral
1895843948989731159,thank you mr president for looking out for the best interests of the hard working people of the greatest country in the world everyone else doesnt matter we the people have spoken,Positive
1895843948947783809,"then we have nothing to talk about
russian are committing genocide terror war crimes and crimes against humanity every day in ukraine
there is no honor in anything they are doing

i am supporting my friends not the government of ukraine in their fight against genocide",Positive
1895843948461269293,"unlike our president 
tells you all you need to know",Neutral
1895843948209537306,president elect trump,Positive
1895843948201144772,can you call the member of parliament and resume parliament first  its more important to canadians that we have a gov,Positive
1895843948066947215,"empty handed is trump who wanted mineral deal
heads high president zelinskyy",Positive
1895843946502525257,wrong our president just showed the world we have a real president now this isnt biden or obama trump loves america and puts us first he wants the dying to stopnow zelenskyy rejected the immediate ceasefire so trump kicked his ass out we support the ceasefire you dont,Positive
1895843946410230064,du qubec je vous envie votre prsident qui ose bouger sur la scne internationale bravo,Neutral
1895843946137600017,lock them all up  i cant stand traitors and haters of americanow we see who has been coaching this dancing moron who they selected as president after bringing in a color revolution that ousted a duly elected one  im sure she told him to suspend his elections too  pure evil,Negative
1895843945982173591,i want to point something out here many of you canadians who are currently trashing trump were actually trump supporters before the election then when he took office and did exactly what he said he wouldimposing tariffs on canada mexico and other countries with unequal,Positive
1895843945592263112,espce de grosse connasse tu veux que mes enfants et les enfants de france aillent faire une guerre alors que la russie et les usa veulent la paix mais que tu continues  soutenir l autre batard corrompu prsident de lukraine qu il a dtruit a cause de vous,Neutral
1895843945575563465,obamas tan suit hes disrespecting the office of president  at the point that conservative news is criticizing your clothing you know you are not ever going to be portrayed as a good guy in their narrative,Positive
1895843945047081183,president trump is right   regardless the people you named are antiamerican grifters lining their pockets with stolen tax  the ukraine war is a  laundering operation initiated by biden not putin it was in the works long before the prosecutor was fired over hunter amp burisma,Positive
1895843944816394686,popefrancis and argentinas dirty war accusations which swirled during his election in 2013,Negative
1895843944791187538,depending on location tho a 2 story building in an average location in abuja will fetch you atleast a 25m yearly roi but you will need a government approval,Negative
1895843944053030961,"historical nft killer of democracy 
save this day for history  save it as an immortal nft 
we dont need a king  we need a president 
we are for freedom and democracy 
we hate tyranny 
claim for free now",Negative
1895843943826510325,we have an american president but we are not out of the woods yet,Neutral
1895843943591657794,there was only one person who disrespected your country and that was your president,Neutral
1895843942354350272,"yes discrimination of women in politics affect societal development women are smart and they offer another perspective to situation they should be more involved in politics for more results in policymaking
cc  
theleadingwomanshow wilanglobal",Positive
1895843942354337889,i feel very sorry for the people of ukraine you look at their history and if continues this day thank god we have a leader in president trump,Negative
1895843942073319447,i support u mr president god bless ukraine,Neutral
1895843941981045222,on this day in 1872 president ulysses s grant signed legislation establishing yellowstone national park making it the worlds first federally protected national park,Positive
1895843941792256483,i stand with the global majority against both donald trump and the rest of the imperialist us government including this idiot,Negative
1895843941649695100,mr president please know that the orange piece of  and baby vance do not represent us we the people of the united states love and support you and ukraine their behavior was deplorable despicable and unacceptable schoolyard bullies for what good tv for his cult base,Negative
1895843941611917739,"imagine having a credit card that the federal government gave you whoa wait a minute let me back up
imagine having two credit cards that the federal government gave you to spend on ubers and dinners and trips all around the world that have nothing to do with your job and",Neutral
1895843941377065055,zelenskyy was bullied  speaking his mind isnt disrespectful  he is the president of the country at war  too bad he didnt want to kiss trumps ass,Negative
1895843940760522985,"never overlook the influence of human foolishness particularly in politics  
war is a grave matter yet most wars are not truly about peace  

blessed are the peace markers",Positive
1895843940739531014,"well lewinsky successfully screwed a president
zelensky came up against a real president and lost",Positive
1895843939871310085,they havent had an election,Neutral
1895843939221192803,"another one with the same instruction
be brave be strong be fearless

why",Positive
1895843939070226511,"politicians should be required to send their sons and daughters first to war before sending others show real commitment to the cause

president trump wants to stop war too many have died 

our country has spent hundreds of billions and depleted our dod military 
reserves",Positive
1895843938956689713,i cant imagine how many paychecks are going out to federal workers that arent there and more importantly somebodys cashing those checksinquiring minds want to know who they are,Positive
1895843938898231605,"world deserves peace
global cummunity will never allow zelenskyys ukraine president plan of the sustainable war
he can not perform costbenefit analysis of the war on behalf of the people 
truthprevails",Neutral
1895843938843402614,loccasion de cette dmonstration de force le commandant de la gr le gnralmajor kabi ephraim a tenu une parade au cours de laquelle il a rappel la mission de la garde rpublicaine  savoir  scuriser le prsident de la rpublique sa famille et ses htes appuyer les,Negative
1895843938667516311,mtherfcker called the vice president of the united states jd  screw em,Neutral
1895843938600435890,"thats actually a good thing starmer tried to equate the free speech in the uk to the free speech in the us he spoke to them as if they dont get information about things that have happened in the uk
regardless of how people feel about the us its current president etc its",Positive
1895843938432663990,"your toxic office culture might be pushing you into burnout 

but office politics exist in every organization

the question isnt whether youll engage with them 

its how youll engage with them

1 analyze reality not theory

the critical questions
 who do people",Neutral
